CODE	NAME	CONTEXT	SEARCH
CN.3	Processing	Fundamental programming concepts:. The concept of an algorithm consisting of a finite number of well-defined steps, each of which completes in a finite amount of time, as does the entire process.. Examples of well-known algorithms such as sorting and searching.. The concept of analysis as understanding what the problem is really asking, how a problem can be approached using an algorithm, and how information is represented so that a machine can process it.. The development or identification of a workflow.. The process of converting an algorithm to machine-executable code.. Software processes including lifecycle models, requirements, design, implementation, verification and maintenance.. Machine representation of data computer arithmetic.. Numerical methods. Algorithms for numerically fitting data (e.g., Newton’s method). Architectures for numerical computation, including parallel architectures. Fundamental properties of parallel and distributed computation:. Bandwidth.. Latency.. Scalability.. Granularity.. Parallelism including task, data, and event parallelism.. Parallel architectures including processor architectures, memory and caching.. Parallel programming paradigms including threading, message passing, event driven techniques, parallel software architectures, and MapReduce.. Grid computing.. The impact of architecture on computational time.. Total time to science curve for parallelism: continuum of things.. Computing costs, e.g., the cost of re-computing a value vs. the cost of storing and lookup.	(processing)
CN.4	Interactive Visualization	Principles of data visualization. Graphing and visualization algorithms. Image processing techniques. Scalability concerns	(interactive visualization)
CN.5	Data, Information, and Knowledge	Content management models, frameworks, systems, design methods (as in IM. Information Management). Digital representations of content including numbers, text, images (e.g., raster and vector), video (e.g., QuickTime, MPEG2, MPEG4), audio (e.g., written score, MIDI, sampled digitized sound track) and animations; complex/composite/aggregate objects; FRBR. Digital content creation/capture and preservation, including digitization, sampling, compression, conversion, transformation/translation, migration/emulation, crawling, harvesting. Content structure / management, including digital libraries and static/dynamic/stream aspects for:. Data: data structures, databases. Information: document collections, multimedia pools, hyperbases (hypertext, hypermedia), catalogs, repositories. Knowledge: ontologies, triple stores, semantic networks, rules. Processing and pattern recognition, including indexing, searching (including: queries and query languages; central / federated / P2P), retrieving, clustering, classifying/categorizing, analyzing/mining/extracting, rendering, reporting, handling transactions. User / society support for presentation and interaction, including browse, search, filter, route, visualize, share, collaborate, rate, annotate, personalize, recommend. Modeling, design, logical and physical implementation, using relevant systems/software	(data, information, and knowledge)
CN.6	Numerical Analysis	Error, stability, convergence, including truncation and round-off. Function approximation including Taylor’s series, interpolation, extrapolation, and regression - 75 -. Numerical differentiation and integration (Simpson’s Rule, explicit and implicit methods). Differential equations (Euler’s Method, finite differences)	(numerical analysis)
DS	Discrete Structures	Discrete structures are foundational material for computer science. By foundational we mean that relatively few computer scientists will be working primarily on discrete structures, but that many other areas of computer science require the ability to work with concepts from discrete structures. Discrete structures include important material from such areas as set theory, logic, graph theory, and probability theory. The material in discrete structures is pervasive in the areas of data structures and algorithms but appears elsewhere in computer science as well. For example, an ability to create and understand a proof—either a formal symbolic proof or a less formal but still mathematically rigorous argument—is important in virtually every area of computer science, including (to name just a few) formal specification, verification, databases, and cryptography. Graph theory concepts are used in networks, operating systems, and compilers. Set theory concepts are used in software engineering and in databases. Probability theory is used in intelligent systems, networking, and a number of computing applications.	(discrete structures)
DS.1	Sets, Relations, and Functions	Sets. Venn diagrams. Union, intersection, complement. Cartesian product. Power sets. Cardinality of finite sets. Relations. Reflexivity, symmetry, transitivity. Equivalence relations, partial orders. Functions. Surjections, injections, bijections. Inverses. Composition	(sets, relations, and functions)
DS.2	Basic Logic	Propositional logic (cross-reference: Propositional logic is also reviewed in IS/Knowledge Based Reasoning). Logical connectives. Truth tables. Normal forms (conjunctive and disjunctive). Validity of well-formed formula. Propositional inference rules (concepts of modus ponens and modus tollens). Predicate logic. Universal and existential quantification. Limitations of propositional and predicate logic (e.g., expressiveness issues)	(basic logic)
DS.3	Proof Techniques	Notions of implication, equivalence, converse, inverse, contrapositive, negation, and contradiction. The structure of mathematical proofs. Direct proofs. Disproving by counterexample. Proof by contradiction. Induction over natural numbers. Structural induction. Weak and strong induction (i.e., First and Second Principle of Induction). Recursive mathematical definitions	(proof techniques)
DS.4	Basics of Counting	Counting arguments. Set cardinality and counting. Sum and product rule. Inclusion-exclusion principle. Arithmetic and geometric progressions. The pigeonhole principle. Permutations and combinations. Basic definitions. Pascal’s identity. The binomial theorem. Solving recurrence relations (cross-reference: AL/Basic Analysis). An example of a simple recurrence relation, such as Fibonacci numbers. Other examples, showing a variety of solutions. Basic modular arithmetic	(basics of counting)
DS.5	Graphs and Trees	Trees. Properties. Traversal strategies. Undirected graphs. Directed graphs. Weighted graphs	(graphs and trees)
DS.6	Discrete Probability	Finite probability space, events. Axioms of probability and probability measures. Conditional probability, Bayes’ theorem. Independence. Integer random variables (Bernoulli, binomial). Expectation, including Linearity of Expectation	(discrete probability)
GV	Graphics and Visualization	Computer graphics is the term commonly used to describe the computer generation and manipulation of images. It is the science of enabling visual communication through computation. Its uses include cartoons, film special effects, video games, medical imaging, engineering, as well as scientific, information, and knowledge visualization. Traditionally, graphics at the undergraduate level has focused on rendering, linear algebra, and phenomenological approaches. More recently, the focus has begun to include physics, numerical integration, scalability, and special-purpose hardware. In order for students to become adept at the use and generation of computer graphics, many implementation-specific issues must be addressed, such as file formats, hardware interfaces, and application program interfaces. These issues change rapidly, and the description that follows attempts to avoid being overly prescriptive about them.	(graphics and visualization)
GV.1	Fundamental Concepts	Media applications including user interfaces, audio and video editing, game engines, cad, visualization, virtual reality. Digitization of analog data, resolution, and the limits of human perception, e.g., pixels for visual display, dots for laser printers, and samples for audio (HCI/Foundations). Use of standard APIs for the construction of UIs and display of standard media formats (see HCI/GUI construction). Standard media formats, including lossless and lossy formats	(fundamental visualization concepts)
GV.2	Basic Rendering	Rendering in nature, e.g., the emission and scattering of light and its relation to numerical integration. Forward and backward rendering (i.e., ray-casting and rasterization). Polygonal representation. Basic radiometry, similar triangles, and projection model. Affine and coordinate system transformations. Ray tracing. Visibility and occlusion, including solutions to this problem such as depth buffering, Painter’s algorithm, and ray tracing. The forward and backward rendering equation. Simple triangle rasterization. Rendering with a shader-based API. Texture mapping, including minification and magnification (e.g., trilinear MIP-mapping). Application of spatial data structures to rendering. Sampling and anti-aliasing. Scene graphs and the graphics pipeline	(basic rendering)
GV.3	Geometric Modeling	Basic geometric operations such as intersection calculation and proximity tests. Volumes, voxels, and point-based representations. Parametric polynomial curves and surfaces. Implicit representation of curves and surfaces. Approximation techniques such as polynomial curves, Bezier curves, spline curves and surfaces, and non- uniform rational basis (NURB) spines, and level set method. Surface representation techniques including tessellation, mesh representation, mesh fairing, and mesh generation techniques such as Delaunay triangulation, marching cubes. Spatial subdivision techniques. Procedural models such as fractals, generative modeling, and L-systems. Graftals, cross referenced with programming languages (grammars to generated pictures). Elastically deformable and freeform deformable models. Subdivision surfaces. Multiresolution modeling. Reconstruction. Constructive Solid Geometry (CSG) representation	(geometric modeling)
GV.4	Advanced Rendering	Solutions and approximations to the rendering equation, for example:. Distribution ray tracing and path tracing. Photon mapping. Bidirectional path tracing. Reyes (micropolygon) rendering. Metropolis light transport. Time (motion blur), lens position (focus), and continuous frequency (color) and their impact on rendering. Shadow mapping. Occlusion culling. Bidirectional Scattering Distribution function (BSDF) theory and microfacets. Subsurface scattering. Area light sources. Hierarchical depth buffering. The Light Field, image-based rendering - 87 -. Non-photorealistic rendering. GPU architecture. Human visual systems including adaptation to light, sensitivity to noise, and flicker fusion	(advanced rendering)
GV.5	Computer Animation	Forward and inverse kinematics. Collision detection and response. Procedural animation using noise, rules (boids/crowds), and particle systems. Skinning algorithms. Physics based motions including rigid body dynamics, physical particle systems, mass-spring networks for cloth and flesh and hair. Key-frame animation. Splines. Data structures for rotations, such as quaternions. Camera animation. Motion capture	(computer animation)
GV.6	Visualization	Visualization of 2D/3D scalar fields: color mapping, isosurfaces. Direct volume data rendering: ray-casting, transfer functions, segmentation. Visualization of:. Vector fields and flow data. Time-varying data. High-dimensional data: dimension reduction, parallel coordinates,. Non-spatial data: multi-variate, tree/graph structured, text. Perceptual and cognitive foundations that drive visual abstractions. Visualization design. Evaluation of visualization methods. Applications of visualization	(visualization)
HCI	Human-Computer Interaction	Human-computer interaction (HCI) is concerned with designing interactions between human activities and the computational systems that support them, and with constructing interfaces to afford those interactions. Interaction between users and computational artefacts occurs at an interface that includes both software and hardware. Thus interface design impacts the software life-cycle in that it should occur early; the design and implementation of core functionality can influence the user interface – for better or worse. Because it deals with people as well as computational systems, as a knowledge area HCI demands the consideration of cultural, social, organizational, cognitive and perceptual issues. Consequently it draws on a variety of disciplinary traditions, including psychology, ergonomics, computer science, graphic and product design, anthropology and engineering.	(hci, human-computer interaction)
HCI.1	Foundations	Contexts for HCI (anything with a user interface, e.g., webpage, business applications, mobile applications, and games). Processes for user-centered development, e.g., early focus on users, empirical testing, iterative design. Different measures for evaluation, e.g., utility, efficiency, learnability, user satisfaction. Usability heuristics and the principles of usability testing. Physical capabilities that inform interaction design, e.g., color perception, ergonomics. Cognitive models that inform interaction design, e.g., attention, perception and recognition, movement, and memory; gulfs of expectation and execution. Social models that inform interaction design, e.g., culture, communication, networks and organizations. Principles of good design and good designers; engineering tradeoffs. Accessibility, e.g., interfaces for differently-abled populations (e.g., blind, motion-impaired). Interfaces for differently-aged population groups (e.g., children, 80+)	(hci foundations)
HCI.2	Designing Interactions	Principles of graphical user interfaces (GUIs). Elements of visual design (layout, color, fonts, labeling). Task analysis, including qualitative aspects of generating task analytic models. Low-fidelity (paper) prototyping. Quantitative evaluation techniques, e.g., keystroke-level evaluation. Help and documentation. Handling human/system failure. User interface standards	(designing interactions)
HCI.3	Programming Interactive Systems	Software Architecture Patterns, e.g., Model-View controller; command objects, online, offline (cross reference PL/Event Driven and Reactive Programming, where MVC is used in the context of event-driven programming). Interaction Design Patterns: visual hierarchy, navigational distance. Event management and user interaction. Geometry management (cross-reference GV/Geometric Modelling). Choosing interaction styles and interaction techniques. Presenting information: navigation, representation, manipulation. Interface animation techniques (e.g., scene graphs). Widget classes and libraries. Modern GUI libraries (e.g. iOS, Android, JavaFX) GUI builders and UI programming environments (cross- reference PBD/Mobile Platforms). Declarative Interface Specification: Stylesheets and DOMs. Data-driven applications (database-backed web pages). Cross-platform design. Design for resource-constrained devices (e.g. small, mobile devices)	(programming interactive systems)
HCI.4	User-Centered Design and Testing	Approaches to, and characteristics of, the design process. Functionality and usability requirements (cross-reference to SE/Requirements Engineering). Techniques for gathering requirements, e.g., interviews, surveys, ethnographic and contextual enquiry. Techniques and tools for the analysis and presentation of requirements, e.g., reports, personas. Prototyping techniques and tools, e.g., sketching, storyboards, low-fidelity prototyping, wireframes. Evaluation without users, using both qualitative and quantitative techniques, e.g., walkthroughs, GOMS, expert-based analysis, heuristics, guidelines, and standards. Evaluation with users, e.g., observation, think-aloud, interview, survey, experiment. Challenges to effective evaluation, e.g., sampling, generalization. Reporting the results of evaluations. Internationalization, designing for users from other cultures, cross-cultural	(user-centered design and testing, ux)
HCI.5	New Interactive Technologies	Choosing interaction styles and interaction techniques. Representing information to users: navigation, representation, manipulation. Approaches to design, implementation and evaluation of non-mouse interaction. Touch and multi-touch interfaces. Shared, embodied, and large interfaces. New input modalities (such as sensor and location data). New Windows, e.g., iPhone, Android. Speech recognition and natural language processing (cross reference IS/Natural Language Processing). Wearable and tangible interfaces. Persuasive interaction and emotion. Ubiquitous and context-aware interaction technologies (Ubicomp). Bayesian inference (e.g. predictive text, guided pointing). Ambient/peripheral display and interaction	(new interaction interactive technologies)
HCI.6	Collaboration and Communication	Asynchronous group communication, e.g., e-mail, forums, social networks. Synchronous group communication, e.g., chat rooms, conferencing, online games. Social media, social computing, and social network analysis. Online collaboration, 'smart' spaces, and social coordination aspects of workflow technologies. Online communities. Software characters and intelligent agents, virtual worlds and avatars (cross-reference IS/Agents). Social psychology	(collaboration and communication)
HCI.7	Statistical Methods for HCI	t-tests. ANOVA. Randomization (non-parametric) testing, within vs. between-subjects design. Calculating effect size. Exploratory data analysis. Presenting statistical data. Combining qualitative and quantitative results	(statistical methods for hci)
HCI.8	Human Factors and Security	Applied psychology and security policies. Security economics. Regulatory environments – responsibility, liability and self-determination. Organizational vulnerabilities and threats. Usability design and security. Pretext, impersonation and fraud, e.g., phishing and spear phishing (cross-reference IAS/Threats and Attacks). Trust, privacy and deception. Biometric authentication (camera, voice). Identity management	(human factors and security)
HCI.9	Design-Oriented HCI	Intellectual styles and perspectives to technology and its interfaces. Consideration of HCI as a design discipline. Sketching. Participatory design. Critically reflective HCI. Critical technical practice. Technologies for political activism. Philosophy of user experience. Ethnography and ethnomethodology. Indicative domains of application. Sustainability. Arts-informed computing	(design-oriented hci)
HCI.10	Mixed, Augmented and Virtual Reality	Output. Sound. Stereoscopic display. Force feedback simulation, haptic devices. User input. Viewer and object tracking. Pose and gesture recognition. Accelerometers. Fiducial markers. User interface issues. Physical modelling and rendering. Physical simulation: collision detection & response, animation. Visibility computation. Time-critical rendering, multiple levels of details (LOD). System architectures - 96 -. Game engines. Mobile augmented reality. Flight simulators. CAVEs. Medical imaging. Networking. p2p, client-server, dead reckoning, encryption, synchronization. Distributed collaboration	(augmented reality, ar, mixed reality, mr, virtual reality, vr, ar/vr)
IAS	Information Assurance and Security	In CS2013, the Information Assurance and Security KA is added to the Body of Knowledge in recognition of the world’s reliance on information technology and its critical role in computer science education. Information assurance and security as a domain is the set of controls and processes both technical and policy intended to protect and defend information and information systems by ensuring their confidentiality, integrity, and availability, and by providing for authentication and non-repudiation. The concept of assurance also carries an attestation that current and past processes and data are valid. Both assurance and security concepts are needed to ensure a complete perspective. Information assurance and security education, then, includes all efforts to prepare a workforce with the needed knowledge, skills, and abilities to protect our information systems and attest to the assurance of the past and current state of processes and data. The importance of security concepts and topics has emerged as a core requirement in the Computer Science discipline, much like the importance of performance concepts has been for many years.	(information assurance and security)
IAS.1	Foundational Concepts in Security	CIA (Confidentiality, Integrity, Availability).  Concepts of risk, threats, vulnerabilities, and attack vectors (cros- reference SE/Software Project Management/Risk).  Authentication and authorization, access control (mandatory vs. discretionary).  Concept of trust and trustworthiness.  Ethics (responsible disclosure). (cross-reference SP/Professional Ethics/Accountability, responsibility and liability)	(foundational concepts in security)
IAS.2	Principles of Secure Design	Least privilege and isolation (cross-reference OS/Security and Protection/Policy/mechanism separation and SF/Virtualization and Isolation/Rationale for protection and predictable performance and PL/Language Translation and Execution/Memory management).  Fail-safe defaults (cross-reference SE/Software Construction/ Coding practices: techniques, idioms/patterns, mechanisms for building quality programs and SDF/Development Methods/Programming correctness).  Open design (cross-reference SE/Software Evolution/ Software development in the context of large, pre- existing code bases).  End-to-end security (cross-reference SF/Reliability through Redundancy/ How errors increase the longer the distance between the communicating entities; the end-to-end principle).  Defense in depth (e.g., defensive programming, layered defense).  Security by design (cross-reference SE/Software Design/System design principles).  Tensions between security and other design goals	(principles of secure design)
IAS.3	Defensive Programming	Input validation and data sanitization (cross-reference SDF/Development Methods/Program Correctness).  Choice of programming language and type-safe languages.  Examples of input validation and data sanitization errors (cross-reference SDF/Development Methods/Program Correctness and SE/Software Construction/Coding Practices). Buffer overflows. Integer errors. SQL injection. XSS vulnerability.  Race conditions (cross-reference SF/Parallelism/Parallel programming and PD/Parallel Architecture/Shared vs. distributed memory and PD/Communication and Coordination/Shared Memory and PD/Parallelism Fundamentals/Programming errors not found in sequential programming).  Correct handling of exceptions and unexpected behaviors (cross-reference SDF/Development Methods/program correctness)	(defensive programming)
IAS.4	Threats and Attacks	Attacker goals, capabilities, and motivations (such as underground economy, digital espionage, cyberwarfare, insider threats, hacktivism, advanced persistent threats).  Examples of malware (e.g., viruses, worms, spyware, botnets, Trojan horses or rootkits).  Denial of Service (DoS) and Distributed Denial of Service (DDoS).  Social engineering (e.g., phishing) (cross-reference SP/Social Context/Social implications of computing in a networked world and HCI/Designing Interaction/Handling human/system failure)	(threats and attacks)
IAS.5	Network Security	Network specific threats and attack types (e.g., denial of service, spoofing, sniffing and traffic redirection, man-in-the-middle, message integrity attacks, routing attacks, and traffic analysis).  Use of cryptography for data and network security.  Architectures for secure networks (e.g., secure channels, secure routing protocols, secure DNS, VPNs, anonymous communication protocols, isolation).  Defense mechanisms and countermeasures (e.g., network monitoring, intrusion detection, firewalls, spoofing and DoS protection, honeypots, tracebacks)	(network security)
IAS.6	Cryptography	Basic Cryptography Terminology covering notions pertaining to the different (communication) partners, secure/unsecure channel, attackers and their capabilities, encryption, decryption, keys and their characteristics, signatures.  Cipher types (e.g., Caesar cipher, affine cipher) together with typical attack methods such as frequency analysis.  Public Key Infrastructure support for digital signature and encryption and its challenges	(cryptography)
IAS.7	Web Security	Web security model. Browser security model including same-origin policy. Client-server trust boundaries, e.g., cannot rely on secure execution in the client.  Session management, authentication. Single sign-on. HTTPS and certificates.  Application vulnerabilities and defenses. SQL injection. XSS. CSRF.  Client-side security. Cookies security policy. HTTP security extensions, e.g. HSTS. Plugins, extensions, and web apps. Web user tracking.  Server-side security tools, e.g. Web Application Firewalls (WAFs) and fuzzers	(web security)
IAS.8	Platform Security	Code integrity and code signing.  Secure boot, measured boot, and root of trust.  Attestation.  TPM and secure co-processors.  Security threats from peripherals, e.g., DMA, IOMMU.  Physical attacks: hardware Trojans, memory probes, cold boot attacks.  Security of embedded devices, e.g., medical devices, cars.  Trusted path	(platform security)
IAS.9	Security Policy and Governance	Privacy policy (cross-reference SP/Social Context/Social implications of computing in a networked world; cross-reference SP/Professional Ethics/Accountability, responsibility and liability; cross-reference SP/Privacy and Civil Liberties/Legal foundations of privacy protection).  Inference controls/statistical disclosure limitation.  Backup policy, password refresh policy.  Breach disclosure policy.  Data collection and retention policies.  Supply chain policy.  Cloud security tradeoffs	(security policy and governance)
IAS.10	Digital Forensics	Basic Principles and methodologies for digital forensics.  Design systems with forensic needs in mind.  Rules of Evidence – general concepts and differences between jurisdictions and Chain of Custody.  Search and Seizure of evidence: legal and procedural requirements.  Digital Evidence methods and standards.  Techniques and standards for Preservation of Data.  Legal and Reporting Issues including working as an expert witness.  OS/File System Forensics.  Application Forensics.  Web Forensics.  Network Forensics.  Mobile Device Forensics.  Computer/network/system attacks.  Attack detection and investigation	(digital forensics)
IAS.11	Secure Software Engineering	Building security into the software development lifecycle (cross-reference SE/Software Processes).  Secure design principles and patterns.  Secure software specifications and requirements.  Secure software development practices (cross-reference SE/Software Construction).  Secure testing - the process of testing that security requirements are met (including static and dynamic analysis)..  Software quality assurance and benchmarking measurements	(secure software engineering)
IM	Information Management	Information Management is primarily concerned with the capture, digitization, representation, organization, transformation, and presentation of information; algorithms for efficient and effective access and updating of stored information; data modeling and abstraction; and physical file storage techniques. The student needs to be able to develop conceptual and physical data models, determine which IM methods and techniques are appropriate for a given problem, and be able to select and implement an appropriate IM solution that addresses relevant design concerns including scalability, accessibility and usability.	(information management)
IM.1	Information Management Concepts	Information systems as socio-technical systems.  Basic information storage and retrieval (IS&R) concepts.  Information capture and representation.  Supporting human needs: searching, retrieving, linking, browsing, navigating	(information management concepts)
IM.2	Database Systems	Approaches to and evolution of database systems.  Components of database systems - 114 -.  Design of core DBMS functions (e.g., query mechanisms, transaction management, buffer management, access methods).  Database architecture and data independence.  Use of a declarative query language.  Systems supporting structured and/or stream content	(database systems)
IM.3	Data Modeling	Data modeling.  Conceptual models (e.g., entity-relationship, UML diagrams).  Spreadsheet models.  Relational data models.  Object-oriented models (cross-reference PL/Object-Oriented Programming).  Semi-structured data model (expressed using DTD or XML Schema, for example)	(data modeling)
IM.4	Indexing	The impact of indices on query performance.  The basic structure of an index.  Keeping a buffer of data in memory.  Creating indexes with SQL.  Indexing text.  Indexing the web (e.g., web crawling)	(indexing)
